First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Casey,Reese,139.9,Germany,Mint,1,1,1,16292.0
Collin,Stephens,169.12,Norway,Vanilla,1,5,1,8015.0
Catherine,Avery,191.7,Germany,Mint,0,2,1,16961.0
Natalie,Shelton,197.16,Germany,Strawberry,0,6,1,5695.0
Anna,Burnett,178.55,Italy,Pistachio,1,3,1,10414.0
Barbara,Church,179.52,France,Mint,0,3,0,13737.0
Christine,Reid,150.21,Italy,Vanilla,1,0,1,14842.0
Brandi,Stone,149.13,Australia,Stracciatella,1,4,0,14276.0
Ann,Greer,174.69,Denmark,Strawberry,1,5,0,14946.0
Meredith,Washington,193.52,Australia,Mint,1,3,1,17524.0
Michelle,Jackson,202.76,Italy,Mint,0,1,1,15827.0
Raymond,Barber,176.59,Sweden,Strawberry,0,2,0,10893.0
Jay,Cline,154.14,Brazil,Vanilla,1,4,1,2520.0
Lawrence,Fields,150.35,Australia,Pistachio,0,4,1,15646.0
Veronica,Barrett,156.91,Finland,Stracciatella,1,5,1,15791.0
Lauren,Hickman,164.15,France,Pistachio,0,2,0,9190.0
Eddie,Yates,158.0,Germany,Pistachio,1,5,1,15930.0
Vincent,Shelton,157.62,UK,Stracciatella,0,1,1,6704.0
Dylan,Cannon,144.9,Japan,Pistachio,1,7,0,8027.0
Derrick,Woods,187.92,France,Stracciatella,1,6,0,14005.0
Autumn,Velez,183.39,France,Vanilla,1,5,1,13983.0
Jorge,Bush,159.8,Norway,Stracciatella,1,0,1,16658.0
Joy,Wood,166.33,Italy,Strawberry,1,4,1,1213.0
Priscilla,Howell,155.63,Canada,Vanilla,0,7,1,2669.0
Brad,Saunders,180.61,Brazil,Vanilla,0,2,0,18041.0
Katelyn,Nash,139.3,Canada,Strawberry,0,0,1,2560.0
Jill,Jacobs,199.73,China,Vanilla,0,4,0,3305.0
Mark,Brock,168.29,UK,Chocolate,1,6,0,14794.0
Jasmine,Stephens,141.99,Norway,Strawberry,1,5,1,8507.0
Julian,Gaines,172.52,Australia,Pistachio,0,6,1,1483.0
Gina,Glover,192.42,Japan,Pistachio,0,4,0,16953.0
Dwayne,Copeland,153.11,Brazil,Stracciatella,1,4,1,14751.0
Aaron,Carrillo,188.88,Norway,Chocolate,1,1,0,11774.0
Craig,Anthony,162.06,Finland,Mint,0,0,0,12113.0
Jack,Holt,187.29,USA,Mint,1,4,0,9391.0
Timothy,Mann,201.12,USA,Mint,1,3,0,12128.0
Miguel,Silva,197.66,China,Chocolate,1,2,0,11036.0
Alfred,Best,179.1,Norway,Strawberry,1,3,0,13759.0
Kathleen,Wyatt,152.57,France,Mint,0,6,0,4177.0
Rebecca,Jones,180.57,Australia,Vanilla,1,3,0,1120.0
Molly,Thompson,200.9,Denmark,Vanilla,0,3,0,6549.0
Julie,Wheeler,161.16,Finland,Stracciatella,1,5,1,10692.0
Angela,Mcconnell,181.69,China,Pistachio,1,4,1,7178.0
Pamela,Frederick,162.25,Denmark,Chocolate,1,4,1,11793.0
Veronica,Landry,198.34,China,Chocolate,1,0,0,11261.0
Leslie,Daniels,201.72,Japan,Chocolate,1,5,1,4286.0
Jenny,Mejia,153.21,Italy,Strawberry,1,5,1,15281.0
Carrie,Banks,186.66,Canada,Chocolate,1,2,1,17284.0
Timothy,Marshall,165.78,UK,Stracciatella,1,4,0,13460.0
Carlos,Bryan,152.85,Norway,Stracciatella,0,0,1,8754.0
Zachary,Norman,136.95,USA,Stracciatella,1,4,1,4405.0
Jillian,Daniel,188.55,USA,Pistachio,1,6,0,9356.0
Jackson,Frey,140.55,Sweden,Vanilla,0,1,1,11618.0
Krista,Peterson,156.55,Australia,Stracciatella,1,0,0,6059.0
Luke,Young,199.12,USA,Mint,1,4,1,9633.0
Jared,Higgins,174.73,Denmark,Chocolate,1,1,0,13484.0
Brad,Riggs,142.1,Canada,Mint,0,6,0,16717.0
Allen,Bartlett,192.78,Denmark,Chocolate,1,5,1,16935.0
Curtis,Burnett,148.97,Finland,Vanilla,0,5,0,15220.0
Jeffrey,Green,194.95,Germany,Stracciatella,0,6,1,11143.0
Mark,Michael,189.87,Brazil,Pistachio,0,0,0,9924.0
Brett,Horn,180.76,Germany,Vanilla,1,1,1,2777.0
Marcus,Rios,156.35,Australia,Stracciatella,1,1,1,7226.0
Nathan,Stanton,202.09,Sweden,Strawberry,1,5,0,1287.0
Jamie,Sutton,162.36,France,Stracciatella,0,3,0,13124.0
Todd,Townsend,137.09,Canada,Chocolate,1,4,0,5516.0
Julie,Larson,172.99,Australia,Chocolate,0,1,1,13082.0
Michelle,Miller,186.95,USA,Mint,0,6,0,5899.0
Lisa,Ellison,185.31,Finland,Stracciatella,1,1,0,1598.0
Philip,Stevens,140.44,China,Vanilla,0,5,1,6762.0
Emily,Ray,160.48,Denmark,Vanilla,0,1,1,3973.0
Linda,Cohen,191.41,Finland,Mint,1,2,0,1595.0
Anna,Blackwell,184.82,Sweden,Chocolate,0,7,1,6597.0
Kenneth,Porter,194.0,Sweden,Stracciatella,0,1,1,4453.0
Christy,Washington,173.74,Norway,Vanilla,1,0,0,11527.0
Heather,Bartlett,168.4,Germany,Stracciatella,1,1,1,15568.0
Carolyn,Dougherty,153.19,Brazil,Mint,0,2,1,4258.0
Leah,Luna,163.34,Australia,Chocolate,1,1,1,17963.0
Shelby,Jensen,176.07,Norway,Mint,0,3,1,7538.0
Laurie,Brennan,176.49,Canada,Strawberry,1,4,0,9599.0
Ann,Ho,179.71,Italy,Stracciatella,0,7,1,12825.0
Calvin,Kerr,169.49,Sweden,Mint,0,0,0,10226.0
Cheryl,Morrow,200.35,Germany,Stracciatella,1,5,0,14623.0
Latoya,Stein,145.8,Canada,Strawberry,0,1,1,7992.0
Sonia,Alvarez,152.92,Germany,Pistachio,1,2,0,11922.0
Betty,Lucas,189.58,Norway,Mint,0,7,1,4568.0
Robert,Warner,159.37,Sweden,Vanilla,0,7,1,16309.0
Denise,Quinn,169.15,Sweden,Pistachio,0,5,0,5328.0
Vanessa,Mcbride,170.39,Germany,Chocolate,1,6,1,4940.0
Jeffrey,Pruitt,158.75,France,Strawberry,0,3,0,9345.0
Jack,Greer,138.86,Australia,Mint,1,4,1,8308.0
Shelley,Hughes,195.16,Japan,Vanilla,1,6,1,7333.0
Sheena,Snow,139.5,Italy,Vanilla,0,6,1,15739.0
Vicki,Ellis,194.83,Australia,Mint,0,4,0,12794.0
Jamie,Barker,171.8,Norway,Chocolate,1,1,1,11149.0
Erica,Stephens,187.46,Sweden,Chocolate,1,1,0,16801.0
Wendy,Branch,195.21,France,Pistachio,1,2,1,14298.0
Aaron,Singh,178.93,Denmark,Chocolate,1,3,1,10200.0
Sherry,Hines,168.18,UK,Vanilla,0,4,1,9247.0
Wendy,Pena,181.84,Denmark,Strawberry,1,2,0,17806.0
Lawrence,Stewart,172.8,Germany,Pistachio,0,4,1,7685.0
Jose,Evans,173.39,Canada,Strawberry,0,0,1,7462.0
Adam,Mendoza,182.16,Brazil,Mint,1,2,0,3203.0
Marcia,Morrow,200.07,Italy,Strawberry,1,4,0,10708.0
Tiffany,Yates,155.4,Australia,Stracciatella,0,0,0,14447.0
Melvin,Wong,176.57,Finland,Strawberry,0,4,1,4948.0
Shane,Fisher,148.58,China,Pistachio,0,7,0,8583.0
Phillip,Garza,187.61,China,Strawberry,0,1,1,9214.0
Victor,Briggs,201.26,USA,Vanilla,1,2,0,5920.0
Mark,Boyd,198.36,Australia,Pistachio,0,5,1,11307.0
Abigail,Walsh,182.0,Italy,Strawberry,0,1,1,12860.0
Brett,Rosario,147.65,Japan,Stracciatella,0,3,1,1007.0
Carlos,Walsh,192.92,France,Mint,1,3,1,3257.0
Gregory,Garner,160.72,Germany,Strawberry,0,0,0,1058.0
Brett,Jacobs,189.78,Japan,Pistachio,0,0,1,10203.0
Brenda,Meyers,198.45,China,Chocolate,0,5,0,13234.0
Brenda,Ramos,171.83,Japan,Chocolate,1,5,0,16169.0
Tyler,Patrick,172.36,Canada,Strawberry,0,5,1,4226.0
Ashley,Pena,165.6,France,Stracciatella,0,7,0,5164.0
Jean,Branch,137.01,Finland,Mint,0,1,0,5720.0
Samuel,Dillon,182.21,Sweden,Chocolate,0,6,1,11543.0
Nancy,Reynolds,138.51,Germany,Mint,0,6,1,13397.0
Judith,Wheeler,171.41,Germany,Chocolate,0,7,0,12730.0
Rebekah,Davidson,201.31,Italy,Stracciatella,0,2,0,5599.0
Rachel,Sanders,199.91,Germany,Mint,0,2,1,13544.0
Pamela,Hood,173.84,Germany,Pistachio,0,5,1,16473.0
Kylie,Ford,168.37,Italy,Chocolate,1,1,1,14488.0
Krista,Casey,160.01,Denmark,Stracciatella,1,0,1,16620.0
Jorge,Holmes,180.36,China,Mint,0,2,0,2831.0
Harry,Lopez,155.27,USA,Stracciatella,0,0,0,13999.0
Joel,Collier,137.71,China,Pistachio,0,0,1,8904.0
Colleen,Blackburn,185.56,France,Chocolate,1,2,1,14393.0
Isaac,Wheeler,168.34,Japan,Mint,0,3,1,16999.0
Lawrence,Hawkins,167.45,Germany,Pistachio,0,4,0,6170.0
Dawn,Booth,154.82,Germany,Strawberry,0,3,0,14736.0
Norma,Cox,175.14,China,Stracciatella,1,5,0,10560.0
Krista,Willis,186.53,France,Stracciatella,1,4,0,16932.0
Jon,Villegas,154.55,Brazil,Mint,0,2,0,4215.0
Michele,Foster,154.97,Brazil,Pistachio,1,1,0,8923.0
Jane,Herrera,198.17,Denmark,Chocolate,1,1,0,10467.0
Deborah,Dougherty,155.21,China,Chocolate,1,7,1,16780.0
Devin,Dyer,153.4,Italy,Stracciatella,0,4,0,17615.0
Debbie,Chapman,145.2,Denmark,Strawberry,1,7,0,7744.0
Derrick,Lambert,177.2,Brazil,Mint,0,3,1,13060.0
Jimmy,Mclean,196.68,UK,Stracciatella,0,1,1,16072.0
Deanna,Mason,169.76,China,Stracciatella,1,7,1,12874.0
Victor,Cunningham,159.83,USA,Stracciatella,1,4,1,12112.0
Jonathon,Henry,189.14,Brazil,Chocolate,0,2,0,17605.0
Eric,Stephens,156.8,Sweden,Mint,1,7,0,8282.0
Jessica,Bush,163.38,China,Vanilla,0,5,1,16943.0
Randall,Flores,178.77,Finland,Vanilla,0,7,1,10149.0
Tanner,Gomez,197.82,Sweden,Pistachio,0,5,0,7598.0
Henry,Salazar,159.42,France,Mint,1,1,1,3502.0
Blake,Buck,148.59,Brazil,Mint,0,1,1,15959.0
Noah,Fuller,166.88,China,Chocolate,0,4,0,1582.0
Jack,Graham,144.87,France,Mint,0,3,0,14777.0
Gail,Ruiz,146.03,USA,Vanilla,0,4,0,7521.0
Heather,Johnson,184.26,Japan,Pistachio,0,1,0,12971.0
Sonia,Salazar,174.81,Canada,Mint,0,4,0,15488.0
Jacob,Ferguson,190.16,Australia,Strawberry,1,6,1,17378.0
Jonathon,Watson,155.39,France,Pistachio,0,3,1,4258.0
Meghan,Austin,163.46,Sweden,Pistachio,0,1,1,17988.0
Autumn,Watkins,168.61,France,Vanilla,0,4,1,1044.0
Meghan,Wallace,195.31,USA,Strawberry,1,6,0,9794.0
Bernard,French,165.13,Australia,Vanilla,0,5,0,14062.0
Dwayne,Bond,197.3,Germany,Stracciatella,1,4,0,14126.0
Jennifer,Hanna,182.48,USA,Vanilla,0,2,0,7110.0
Monique,Gill,164.94,Canada,Chocolate,0,1,0,17638.0
Dean,Best,171.47,Canada,Mint,1,4,0,9446.0
Gerald,Perkins,182.63,Norway,Chocolate,1,0,1,10362.0
Elaine,Lloyd,194.18,Italy,Chocolate,0,1,1,12402.0
Deborah,Hunter,162.91,Norway,Stracciatella,0,4,0,2908.0
Eddie,Bartlett,138.44,Norway,Vanilla,1,0,0,17514.0
Tanya,Graham,164.22,Australia,Chocolate,0,0,1,8762.0
Natalie,Chaney,171.57,Brazil,Pistachio,0,2,1,3663.0
Curtis,Shields,152.05,Norway,Vanilla,1,7,0,11706.0
Priscilla,Wong,147.55,China,Strawberry,0,2,0,14724.0
Cole,Grant,159.73,Germany,Mint,0,3,1,6713.0
Jeremy,Vincent,170.68,Sweden,Stracciatella,0,6,1,14649.0
Dwayne,Wells,146.59,Denmark,Stracciatella,0,6,0,3023.0
Nancy,Coleman,174.96,Norway,Chocolate,1,5,1,14971.0
Toni,Avila,172.35,Germany,Mint,0,5,0,9426.0
Dwayne,Preston,171.75,USA,Vanilla,1,2,1,11406.0
Julian,Garcia,190.0,Japan,Strawberry,0,2,1,15493.0
Brenda,Mccann,184.24,Denmark,Vanilla,0,4,0,11129.0
Bryan,Gutierrez,179.8,Denmark,Pistachio,1,6,1,10118.0
Barbara,Baker,181.44,Japan,Mint,0,3,1,18078.0
Steven,Holmes,169.31,Australia,Vanilla,1,5,0,5961.0
Virginia,Black,180.03,Italy,Stracciatella,1,2,1,3233.0
Natasha,Mcdonald,196.19,Canada,Strawberry,1,5,0,13001.0
Wesley,Perry,146.01,Sweden,Mint,0,1,1,2591.0
April,Melton,151.38,Sweden,Stracciatella,1,6,0,1080.0
Dean,Carter,179.18,France,Pistachio,1,7,1,11951.0
Louis,Fernandez,142.62,Canada,Pistachio,0,6,1,3698.0
Brent,Mendoza,172.19,Norway,Vanilla,0,3,0,3090.0
Hayley,Odonnell,139.42,Japan,Pistachio,0,4,1,13459.0
Andrea,Lowe,198.7,China,Pistachio,1,3,0,11261.0
Neil,Villegas,182.48,UK,Vanilla,0,3,0,8818.0
Vanessa,Cameron,157.81,Brazil,Vanilla,0,7,1,15785.0
Cheryl,Rodriguez,196.17,Finland,Pistachio,1,1,1,10546.0
Jimmy,Harding,146.11,Italy,Chocolate,0,5,0,13021.0
Alexandra,Ochoa,156.65,Denmark,Vanilla,0,5,0,2732.0
Joel,Chaney,181.78,France,Stracciatella,0,4,1,1325.0
Thomas,Clarke,170.29,UK,Strawberry,1,7,0,12995.0
Courtney,Sosa,153.73,Denmark,Strawberry,1,7,1,2348.0
Natalie,Townsend,198.43,Norway,Pistachio,0,2,1,4480.0
Barbara,Fernandez,190.2,UK,Stracciatella,0,2,1,17017.0
Joy,Brooks,186.36,Sweden,Vanilla,1,3,0,5573.0
Veronica,Holt,154.63,USA,Chocolate,1,2,1,12005.0
Alexander,Mckenzie,183.07,France,Pistachio,1,0,0,11686.0
Allison,Monroe,201.55,Denmark,Chocolate,1,2,0,13476.0
Jeremy,Snow,199.11,Germany,Mint,0,5,1,12889.0
Holly,Mclean,176.11,China,Stracciatella,0,0,0,14966.0
Anthony,Nguyen,176.05,Canada,Vanilla,0,6,0,2039.0
Jeanette,Sosa,139.73,Australia,Mint,0,6,1,15791.0
Kyle,Griffith,179.53,UK,Strawberry,0,1,1,9689.0
Kristy,Myers,189.93,Canada,Pistachio,1,3,0,2983.0
Taylor,Kline,186.36,Japan,Stracciatella,0,6,0,12011.0
Suzanne,Harmon,175.66,Germany,Strawberry,0,3,0,9188.0
Fernando,Ewing,188.51,China,Mint,1,0,0,2106.0
Hayley,Lara,179.93,UK,Strawberry,0,3,1,1783.0
Alexandra,Fernandez,169.85,Germany,Vanilla,0,6,1,13487.0
Tracey,Strickland,182.4,Italy,Strawberry,1,2,0,5162.0
Cassandra,Mclean,181.21,Brazil,Stracciatella,1,3,0,2869.0
Deanna,Sullivan,195.71,Germany,Vanilla,0,6,1,7122.0
Neil,Parks,144.77,Finland,Stracciatella,1,2,1,7241.0
Anita,Maynard,144.75,China,Vanilla,0,2,0,13226.0
Albert,Howard,167.29,Norway,Vanilla,0,1,0,13186.0
Suzanne,Clayton,169.16,France,Chocolate,0,6,1,5198.0
Gerald,Woods,185.56,Australia,Vanilla,1,5,0,14439.0
Gene,Juarez,137.04,Sweden,Strawberry,1,4,0,13641.0
Rodney,Myers,138.82,Finland,Chocolate,0,5,1,17444.0
Ellen,Knox,170.74,Germany,Vanilla,0,5,1,3910.0
Jamie,Carrillo,191.71,Canada,Mint,0,6,0,9206.0
Joshua,Weeks,136.85,UK,Pistachio,1,3,1,14669.0
Juan,Mccarthy,187.26,Japan,Strawberry,0,2,1,17762.0
Whitney,Odonnell,155.27,Norway,Vanilla,0,2,0,7690.0
Grace,Duarte,165.71,Italy,Strawberry,0,4,0,13576.0
Matthew,Howard,173.03,Australia,Mint,0,6,1,2335.0
Donna,Strickland,142.37,USA,Chocolate,0,3,0,15163.0
Autumn,Harrington,199.75,UK,Strawberry,1,4,0,6774.0
Grace,Mann,185.69,France,Stracciatella,0,5,1,4246.0
Monica,Lewis,181.39,Brazil,Chocolate,1,2,0,11352.0
Lindsay,Tucker,161.92,Australia,Strawberry,0,6,1,9228.0
Christy,Douglas,145.9,Denmark,Vanilla,0,0,0,2786.0
Diana,Oneill,175.61,USA,Mint,1,3,0,13031.0
Tammy,Hayes,140.09,Brazil,Stracciatella,1,7,0,3344.0
Shane,Blankenship,170.4,Denmark,Pistachio,0,2,0,16243.0
Frank,Serrano,161.76,Norway,Mint,0,3,1,5659.0
Taylor,Walls,163.29,Australia,Stracciatella,1,4,1,4404.0
Sherry,Archer,153.75,France,Vanilla,0,1,1,4037.0
Cheryl,Rangel,161.69,Denmark,Strawberry,1,3,0,7027.0
Laura,Carlson,184.0,Norway,Mint,0,7,1,1711.0
Krista,Hayes,199.72,Australia,Pistachio,0,6,1,8794.0
Emily,Roach,141.45,Norway,Vanilla,1,6,1,16491.0
Ronald,Stevens,170.2,Sweden,Mint,0,3,0,12677.0
Briana,Hall,200.36,Brazil,Chocolate,0,0,0,6686.0
Troy,Morrison,191.05,China,Stracciatella,0,6,0,13105.0
Amber,Gross,171.49,France,Pistachio,1,3,0,17061.0
Ruth,Bush,193.22,Denmark,Pistachio,0,6,1,3859.0
Denise,Gillespie,160.31,Sweden,Chocolate,0,7,1,17385.0
Micheal,Watts,164.26,Brazil,Chocolate,0,2,1,5193.0
Carrie,Schneider,152.79,France,Chocolate,1,3,0,2067.0
Latoya,Huber,151.36,Japan,Vanilla,1,2,1,10830.0
Scott,Rogers,189.21,Japan,Chocolate,0,1,0,11898.0
Allen,Spencer,169.06,Germany,Mint,1,0,1,3176.0
Bryce,Ware,185.84,Australia,Vanilla,1,1,1,1821.0
Christopher,Velasquez,187.16,Finland,Chocolate,1,2,1,8956.0
Ellen,Berry,193.29,Japan,Mint,1,6,1,3624.0
Hannah,Knox,165.36,France,Pistachio,1,3,0,11930.0
Alex,Andersson,168.44,Norway,Strawberry,1,6,1,15448.0
Jack,Petty,163.14,Brazil,Chocolate,0,1,0,17502.0
Jim,Sims,193.02,Finland,Stracciatella,1,3,0,2947.0
Colleen,Lindsey,145.39,Canada,Strawberry,0,4,0,16334.0
Laurie,Pruitt,156.21,Australia,Chocolate,1,3,1,1911.0
Joan,Ayers,167.49,Denmark,Vanilla,1,4,1,7970.0
Calvin,Johnson,188.18,Denmark,Chocolate,0,5,0,15819.0
Gerald,Frank,197.92,Australia,Vanilla,0,2,0,3254.0
Caroline,Mendoza,141.87,Italy,Chocolate,1,5,0,2998.0
Rebekah,Chandler,202.63,Italy,Stracciatella,0,5,1,10018.0
Carolyn,Ortega,155.84,Sweden,Stracciatella,0,7,1,1992.0
Rickey,Hammond,192.2,Italy,Strawberry,1,5,1,9615.0
Edgar,Lopez,145.95,UK,Pistachio,0,2,0,6293.0
Phyllis,Dyer,166.27,Japan,Vanilla,0,3,1,8905.0
Andrew,Montes,196.03,Germany,Vanilla,0,0,1,7247.0
Travis,Church,176.47,Australia,Strawberry,1,6,1,7403.0
Edgar,Smith,165.04,UK,Pistachio,0,0,0,9396.0
Travis,Craig,162.56,Sweden,Strawberry,1,7,0,13599.0
Casey,Gonzalez,181.01,Brazil,Mint,1,7,0,14115.0
Renee,Hebert,161.41,France,Vanilla,1,7,0,14540.0
Dennis,Wu,162.21,Italy,Vanilla,1,4,0,3289.0
Alfred,Newman,163.66,Denmark,Mint,0,7,1,6137.0
Kayla,Ray,148.53,Norway,Chocolate,1,1,1,8364.0
Tom,Richardson,198.02,Brazil,Vanilla,1,4,0,14516.0
Rebekah,Clarke,198.96,Australia,Chocolate,0,1,1,13720.0
Meredith,Miles,170.93,UK,Pistachio,1,2,1,11592.0
Hannah,Woodward,200.87,UK,Pistachio,1,6,1,9991.0
Allen,Griffith,139.48,Germany,Vanilla,0,0,1,17156.0
Cristina,Raymond,178.28,USA,Chocolate,0,3,0,8158.0
Whitney,Larson,137.7,Sweden,Strawberry,0,1,1,12128.0
Ian,Herrera,163.01,France,Stracciatella,1,0,0,16945.0
Christopher,Jones,145.75,UK,Chocolate,1,4,0,11847.0
Sara,West,183.61,Italy,Mint,1,6,0,10961.0
Gregory,Carter,148.66,Finland,Chocolate,1,3,0,8580.0
Nancy,Olson,155.71,Brazil,Mint,0,7,0,6271.0
Erik,Cruz,137.58,France,Vanilla,0,0,1,3853.0
Derrick,Knox,159.81,Japan,Mint,0,3,1,16854.0
Douglas,Rose,139.83,UK,Pistachio,1,0,1,9506.0
Michele,Espinoza,169.85,Denmark,Strawberry,0,5,1,4276.0
William,Boyd,150.21,Australia,Pistachio,1,0,1,8826.0
Kathy,Frederick,151.91,Australia,Chocolate,0,3,0,3158.0
Cheryl,Olson,163.91,Brazil,Stracciatella,0,1,0,17820.0
Haley,Meyers,197.66,Denmark,Stracciatella,1,0,0,10925.0
Zoe,Knight,190.6,Sweden,Strawberry,0,7,1,2330.0
Peter,Walton,137.12,Italy,Strawberry,0,6,1,12219.0
Kelly,Dyer,159.68,Sweden,Vanilla,0,5,1,15621.0
Amber,Simon,158.23,Sweden,Stracciatella,0,4,1,15126.0
Tom,Gregory,179.35,China,Stracciatella,1,3,1,9683.0
Erika,Herring,151.2,Brazil,Chocolate,0,2,1,2437.0
Shannon,Day,198.62,Finland,Mint,1,6,0,1713.0
Nancy,Warren,173.24,Denmark,Pistachio,1,2,0,6434.0
Tina,Lamb,167.35,UK,Strawberry,1,5,0,11922.0
Adrian,Steele,152.59,Canada,Chocolate,1,5,0,6379.0
Anita,Quinn,178.45,Norway,Vanilla,0,3,0,18089.0
Sara,Richardson,150.06,Germany,Stracciatella,0,5,0,6153.0
Ruben,Schultz,154.78,France,Mint,1,1,0,12076.0
Kyle,Harris,153.29,Australia,Strawberry,1,1,1,9333.0
Neil,Cooke,199.22,China,Vanilla,1,7,0,1880.0
Donald,Manning,191.86,Finland,Chocolate,0,0,1,10217.0
Tracey,Allen,189.4,Denmark,Stracciatella,0,0,0,1278.0
Shari,Vaughan,150.51,France,Stracciatella,1,0,0,10357.0
Lawrence,Blackburn,137.59,Italy,Vanilla,0,6,1,15697.0
Whitney,Rollins,199.62,UK,Vanilla,0,6,1,10256.0
Kathy,Best,151.6,UK,Mint,1,6,0,4609.0
Nathan,Anthony,183.23,Canada,Chocolate,0,3,0,13405.0
Evelyn,Sullivan,189.37,Brazil,Pistachio,1,0,0,17698.0
Kim,Love,167.89,Japan,Stracciatella,0,1,0,2197.0
Katelyn,Obrien,140.36,Japan,Chocolate,1,6,1,7375.0
Mark,Wagner,181.38,UK,Strawberry,0,6,0,1813.0
Joseph,Hinton,178.02,Denmark,Mint,1,0,1,8635.0
Lacey,Gross,153.42,Canada,Chocolate,0,1,0,9086.0
Sharon,Harding,182.43,Canada,Vanilla,0,5,0,3350.0
Lisa,Lara,163.63,Canada,Stracciatella,0,1,1,2574.0
Katie,Mcgrath,190.53,Sweden,Mint,0,6,1,11363.0
Melissa,Wang,190.88,China,Chocolate,1,4,1,9793.0
Bailey,Potter,179.76,Australia,Pistachio,1,4,1,4167.0
Tamara,Gregory,172.73,China,Stracciatella,0,2,0,16385.0
Derrick,Hartman,197.13,Brazil,Stracciatella,0,6,1,12409.0
Suzanne,Holt,180.27,Denmark,Stracciatella,0,7,1,3627.0
Rebecca,Frazier,178.94,Finland,Vanilla,0,3,1,14299.0
Kevin,Simon,175.62,Denmark,Pistachio,1,0,0,13760.0
Christopher,Mitchell,157.47,USA,Pistachio,0,1,0,8336.0
Derrick,Raymond,148.35,Brazil,Stracciatella,0,6,0,10680.0
Olivia,Woods,172.03,Canada,Vanilla,0,2,1,7640.0
Tommy,Morrow,156.44,Denmark,Pistachio,1,0,1,8312.0
Douglas,Harrison,163.17,Norway,Mint,0,2,1,9051.0
Amber,Campbell,187.42,Australia,Chocolate,1,0,0,14987.0
Gregg,Huber,188.77,Germany,Pistachio,1,0,1,4615.0
Shane,Keller,152.98,France,Strawberry,0,3,0,10671.0
Jean,Murray,153.21,UK,Chocolate,0,2,1,10942.0
Kelly,Mcdaniel,191.12,UK,Chocolate,1,2,1,4307.0
Caitlin,Thomas,158.82,China,Strawberry,1,2,1,13885.0
Micheal,Love,198.31,UK,Strawberry,0,6,0,17161.0
Monique,Sims,200.11,USA,Stracciatella,1,5,1,14389.0
Samuel,Esparza,176.54,Japan,Vanilla,0,2,0,12495.0
Hannah,Mclean,190.06,Sweden,Mint,1,1,1,3304.0
Zoe,Harvey,188.33,Japan,Strawberry,0,6,0,2645.0
Hannah,Patrick,156.6,Norway,Stracciatella,1,1,1,8319.0
Nathan,Norman,162.02,China,Mint,0,0,1,16770.0
Tiffany,Poole,149.11,France,Vanilla,1,0,1,3514.0
Brent,Fields,167.39,USA,Chocolate,1,5,0,13627.0
Jesse,Calhoun,169.86,USA,Chocolate,1,7,0,9399.0
Holly,Tran,199.95,UK,Mint,1,5,1,6415.0
Cindy,Kirk,154.32,Sweden,Stracciatella,0,0,1,14335.0
Tanner,Simmons,138.2,Japan,Vanilla,1,6,0,15952.0
Bryan,Kennedy,138.63,China,Strawberry,0,4,0,8159.0
Lynn,Turner,177.85,Denmark,Strawberry,1,7,1,12077.0
Devin,Vega,151.54,Germany,Stracciatella,1,4,1,16125.0
Tanner,Mckenzie,143.37,Brazil,Pistachio,0,3,1,9120.0
Joy,Howard,192.25,UK,Chocolate,1,0,0,11702.0
Phyllis,Sexton,150.0,Brazil,Chocolate,0,1,0,1523.0
Laura,Meyers,156.02,Italy,Mint,1,0,1,15960.0
Miranda,Holmes,197.03,Italy,Strawberry,1,2,0,3317.0
Melinda,Howe,181.3,France,Mint,1,2,1,3015.0
Alexis,Lloyd,144.52,UK,Vanilla,1,1,1,3948.0
Anna,Wang,151.68,Denmark,Pistachio,1,2,1,16779.0
Whitney,Cummings,201.36,Finland,Chocolate,1,3,0,11787.0
Sherry,Stewart,142.12,Italy,Vanilla,0,3,1,15931.0
Carolyn,Gross,169.58,Sweden,Vanilla,0,5,1,11343.0
Veronica,Bruce,147.38,Denmark,Mint,1,0,0,15240.0
Suzanne,Reyes,137.84,Norway,Stracciatella,0,5,0,2976.0
Joann,Shelton,162.67,Australia,Mint,1,2,1,1596.0
Edgar,Wolfe,137.11,Canada,Chocolate,1,1,1,10283.0
Lacey,Orr,200.0,Norway,Stracciatella,0,5,1,4436.0
Juan,Proctor,195.95,Italy,Pistachio,1,1,0,5234.0
Jeanette,Hanson,154.4,Australia,Strawberry,0,3,1,2258.0
Brandon,George,172.88,Japan,Strawberry,0,4,0,15393.0
Rodney,Stephens,155.6,Australia,Stracciatella,0,2,0,11030.0
Teresa,Higgins,191.32,Canada,Pistachio,0,1,1,3076.0
Charlene,Spencer,149.18,Australia,Strawberry,1,4,0,1117.0
Colleen,Webb,173.15,Brazil,Chocolate,0,6,0,8560.0
Luke,Mitchell,198.24,UK,Stracciatella,0,1,1,11100.0
Louis,Carpenter,198.59,Australia,Pistachio,0,6,1,16115.0
Stacy,Rasmussen,181.25,Denmark,Mint,0,4,1,9085.0
Leslie,Jenkins,187.96,UK,Strawberry,1,0,0,4444.0
Levi,Roman,176.37,Sweden,Mint,1,3,0,13050.0
Veronica,Silva,201.25,Canada,Strawberry,0,5,0,8790.0
Travis,Hall,166.17,Australia,Chocolate,1,0,1,1456.0
